Date,Value
10/10/2024,43.316
11/10/2024,43.214
14/10/2024,43.4
15/10/2024,43.794
16/10/2024,43.12
17/10/2024,42.88
18/10/2024,41.83
21/10/2024,42.306
22/10/2024,41.872
23/10/2024,42.078
24/10/2024,41.85
25/10/2024,41.992
28/10/2024,42.54
29/10/2024,42.798
30/10/2024,42.94
31/10/2024,42.47
01/11/2024,42.23
04/11/2024,42.326
05/11/2024,42.324
06/11/2024,42.352
07/11/2024,42.526
08/11/2024,43.192
11/11/2024,41.464
12/11/2024,40.644
13/11/2024,40.032
14/11/2024,39.906
15/11/2024,39.758
18/11/2024,39.922
19/11/2024,40.054
20/11/2024,39.876
21/11/2024,39.544
22/11/2024,39.768
25/11/2024,39.998
26/11/2024,39.716
27/11/2024,39.452
28/11/2024,39.732
29/11/2024,40
02/12/2024,40.35
03/12/2024,40.404
04/12/2024,40.606
05/12/2024,40.412
06/12/2024,40.26
09/12/2024,40.06
10/12/2024,41.526
11/12/2024,41.562
12/12/2024,41.548
13/12/2024,40.822
16/12/2024,40.1
17/12/2024,39.942
18/12/2024,39.982
19/12/2024,39.314
20/12/2024,39.114
23/12/2024,39.378
24/12/2024,39.342
27/12/2024,39.472
30/12/2024,39.472
31/12/2024,39.17
02/01/2025,39.45
03/01/2025,39.49
06/01/2025,38.74
07/01/2025,38.436
08/01/2025,38.868
09/01/2025,38.84
10/01/2025,39.32
13/01/2025,39.25
14/01/2025,39.69
15/01/2025,39.598
16/01/2025,39.71
17/01/2025,39.69
20/01/2025,39.942
21/01/2025,40.276
22/01/2025,39.58
23/01/2025,38.906
24/01/2025,38.934
28/01/2025,39.196
29/01/2025,38.82
30/01/2025,39.096
31/01/2025,39.626
03/02/2025,38.922
04/02/2025,39.208
05/02/2025,39.75
06/02/2025,39.748
07/02/2025,40.098
10/02/2025,39.802
11/02/2025,39.75
12/02/2025,39.73
13/02/2025,40.464
14/02/2025,40.766
17/02/2025,40.44
18/02/2025,40.576
19/02/2025,40.688
20/02/2025,39.86
21/02/2025,40.716
24/02/2025,40.33
25/02/2025,40.052
26/02/2025,39.54
27/02/2025,39.642
28/02/2025,38.806
03/03/2025,39.02
04/03/2025,39.022
05/03/2025,39.294
06/03/2025,40.146
07/03/2025,39.01
10/03/2025,39.026
11/03/2025,39.376
12/03/2025,38.98
13/03/2025,38.178
14/03/2025,38.552
17/03/2025,39.096
18/03/2025,39.368
19/03/2025,39.47
20/03/2025,39.066
21/03/2025,39.17
24/03/2025,39.076
25/03/2025,38.958
26/03/2025,39.414
27/03/2025,39.404
28/03/2025,39.54
31/03/2025,38.37
01/04/2025,38.646
02/04/2025,38.344
03/04/2025,37.036
04/04/2025,36.424
07/04/2025,34.076
08/04/2025,35.076
09/04/2025,33.958
10/04/2025,36.15
11/04/2025,35.028
14/04/2025,36.174
15/04/2025,36.45
16/04/2025,35.96
17/04/2025,36.162
22/04/2025,36.364
23/04/2025,37.482
24/04/2025,37.906
28/04/2025,37.65
29/04/2025,37.866
30/04/2025,37.95
01/05/2025,37.476
02/05/2025,37.674
05/05/2025,37.69
06/05/2025,37.46
07/05/2025,37.78
08/05/2025,37.628
09/05/2025,37.346
12/05/2025,38.13
13/05/2025,39.064
14/05/2025,39.158
15/05/2025,39.04
16/05/2025,39.47
19/05/2025,38.838
20/05/2025,38.6
21/05/2025,38.49
22/05/2025,38.44
23/05/2025,38.248
26/05/2025,38.354
27/05/2025,38.384
28/05/2025,38.398
29/05/2025,38.158
30/05/2025,38.028
02/06/2025,37.75
03/06/2025,37.612
04/06/2025,37.69
05/06/2025,37.826
06/06/2025,38.082
10/06/2025,38.29
11/06/2025,38.95
12/06/2025,38.436
13/06/2025,37.448
16/06/2025,37.132
17/06/2025,37.18
18/06/2025,36.69
19/06/2025,36.2
20/06/2025,36.038
23/06/2025,35.556
24/06/2025,36.264
25/06/2025,35.944
26/06/2025,35.956
27/06/2025,37.122
30/06/2025,36.724
01/07/2025,36.434
02/07/2025,36.94
03/07/2025,38.746
04/07/2025,38.532
07/07/2025,38.484
08/07/2025,37.85
09/07/2025,37.894
10/07/2025,37.95
11/07/2025,39.198
14/07/2025,39.538
15/07/2025,39.298
16/07/2025,38.786
17/07/2025,38.998
18/07/2025,39.918
21/07/2025,40.144
22/07/2025,41.094
23/07/2025,41.77
24/07/2025,41.564
25/07/2025,40.674
28/07/2025,40.24
29/07/2025,40.13
30/07/2025,40.118
31/07/2025,39.158
01/08/2025,39.19
04/08/2025,39.328
05/08/2025,39.678
06/08/2025,39.722
07/08/2025,39.712
08/08/2025,39.98
11/08/2025,40.636
12/08/2025,40.956
13/08/2025,41.466
14/08/2025,41.46
15/08/2025,41.582
18/08/2025,41.44
19/08/2025,41.702
20/08/2025,41.386
21/08/2025,41.782
22/08/2025,42.112
25/08/2025,42.88
26/08/2025,42.596
27/08/2025,42.802
28/08/2025,42.764
29/08/2025,42.932
01/09/2025,42.51
02/09/2025,42.632
03/09/2025,42.324
04/09/2025,41.896
05/09/2025,41.512
08/09/2025,41.494
09/09/2025,40.99
10/09/2025,40.396
11/09/2025,40.294
12/09/2025,40.718
15/09/2025,40.628
16/09/2025,40.874
17/09/2025,40.358
18/09/2025,40.002
19/09/2025,39.71
22/09/2025,39.924
23/09/2025,40.302
24/09/2025,40.28
25/09/2025,41.424
26/09/2025,42.314
29/09/2025,41.824
30/09/2025,42.656
01/10/2025,41.706
02/10/2025,41.99
03/10/2025,42.01
06/10/2025,41.952
07/10/2025,42
08/10/2025,41.934
09/10/2025,42.886
10/10/2025,42.476
10/10/2025,42.476
