Date,Value
18/11/2020,17799.01318359375
19/11/2020,17780.76318359375
20/11/2020,18244.35498046875
21/11/2020,18661.13232421875
22/11/2020,18343.14697265625
23/11/2020,18361.59033203125
24/11/2020,18737.35205078125
25/11/2020,18952.16064453125
26/11/2020,17774.44580078125
27/11/2020,17058.44091796875
28/11/2020,17398.73486328125
29/11/2020,17934.96630859375
30/11/2020,18932.93603515625
01/12/2020,19151.166015625
02/12/2020,18914.72119140625
03/12/2020,19285.8251953125
04/12/2020,19088.83251953125
05/12/2020,18900.814453125
06/12/2020,19196.923828125
07/12/2020,19219.4326171875
08/12/2020,18766.5244140625
09/12/2020,18359.16015625
10/12/2020,18332.16357421875
11/12/2020,18052.705078125
12/12/2020,18455.14208984375
13/12/2020,19016.25390625
14/12/2020,19177.236328125
15/12/2020,19317.21142578125
16/12/2020,20371.66015625
17/12/2020,22247.71240234375
18/12/2020,22895.79296875
19/12/2020,23478.75634765625
20/12/2020,23674.10791015625
21/12/2020,23124.2216796875
22/12/2020,23199.39404296875
23/12/2020,23462.6142578125
24/12/2020,23380.52197265625
25/12/2020,24143.0341796875
26/12/2020,25588.703125
27/12/2020,26730.8193359375
28/12/2020,26740.595703125
29/12/2020,26950.56689453125
30/12/2020,28124.71826171875
31/12/2020,28822.541015625
01/01/2021,29193.09375
02/01/2021,30937.50537109375
03/01/2021,32893.07666015625
04/01/2021,31736.45947265625
05/01/2021,32657.06201171875
06/01/2021,35307.927734375
07/01/2021,38219.119140625
08/01/2021,39741.1875
09/01/2021,40365.103515625
10/01/2021,39003.8701171875
11/01/2021,35702.32958984375
12/01/2021,34676.4560546875
13/01/2021,35354.02734375
14/01/2021,38336.8515625
15/01/2021,37554.84375
16/01/2021,36624.427734375
17/01/2021,35686.6494140625
18/01/2021,36151.3603515625
19/01/2021,36634.43359375
20/01/2021,35386.6669921875
21/01/2021,33044.6318359375
22/01/2021,31647.15283203125
23/01/2021,32476.88427734375
24/01/2021,32101.1123046875
25/01/2021,32885.68017578125
26/01/2021,32188.31982421875
27/01/2021,31231.93603515625
28/01/2021,31947.16455078125
29/01/2021,34776.53369140625
30/01/2021,34085.087890625
31/01/2021,33485.9365234375
01/02/2021,33418.54931640625
02/02/2021,34607.3974609375
03/02/2021,36476.7705078125
04/02/2021,37327.7119140625
05/02/2021,37490.130859375
06/02/2021,39097.3330078125
07/02/2021,38805.4052734375
08/02/2021,42340.88671875
09/02/2021,46459.1953125
10/02/2021,45603.666015625
11/02/2021,46364.818359375
12/02/2021,47638.1494140625
13/02/2021,47259.1865234375
14/02/2021,48108.486328125
15/02/2021,47966.16015625
16/02/2021,48671.68359375
17/02/2021,50740.64453125
18/02/2021,51827.66015625
19/02/2021,53653.7607421875
20/02/2021,56029.66015625
21/02/2021,56902.9228515625
22/02/2021,54560.25390625
23/02/2021,50631.21875
24/02/2021,49261.013671875
25/02/2021,48961.4384765625
26/02/2021,46586.4638671875
27/02/2021,46513.880859375
28/02/2021,45322.4580078125
01/03/2021,47422.4638671875
02/03/2021,48836.8623046875
03/03/2021,49940.87890625
04/03/2021,49618.873046875
05/03/2021,48348.3203125
06/03/2021,48554.08984375
07/03/2021,50107.1044921875
08/03/2021,51310.19140625
09/03/2021,53475.7587890625
10/03/2021,55345.4267578125
11/03/2021,56585.9892578125
12/03/2021,57131.64453125
13/03/2021,59122.0732421875
14/03/2021,60355.9208984375
15/03/2021,57777.1962890625
16/03/2021,55758.4736328125
17/03/2021,57298.7919921875
18/03/2021,57780.45703125
19/03/2021,58084.79296875
20/03/2021,58722.6220703125
21/03/2021,57651.712890625
22/03/2021,56201.66796875
23/03/2021,54676.685546875
24/03/2021,54315.3671875
25/03/2021,52169.9658203125
26/03/2021,53384.373046875
27/03/2021,55480.55078125
28/03/2021,55901.7783203125
29/03/2021,56794.8837890625
30/03/2021,58341.6494140625
31/03/2021,58876.388671875
01/04/2021,59028.4296875
02/04/2021,59404.9150390625
03/04/2021,58678.865234375
04/04/2021,58111.4541015625
05/04/2021,58851.21875
06/04/2021,58622.669921875
07/04/2021,57142.6533203125
08/04/2021,57160.4228515625
09/04/2021,58329.119140625
10/04/2021,59340.595703125
11/04/2021,60032.88671875
12/04/2021,60228.0771484375
13/04/2021,61751.4296875
14/04/2021,63262.8359375
15/04/2021,63104.9609375
16/04/2021,62162.13671875
17/04/2021,61286.8173828125
18/04/2021,57701.265625
19/04/2021,55951.125
20/04/2021,55666.2548828125
21/04/2021,55207.6650390625
22/04/2021,52903.35546875
23/04/2021,50667.2294921875
24/04/2021,50291.7353515625
25/04/2021,49180.6474609375
26/04/2021,51560.0869140625
27/04/2021,54449.8935546875
28/04/2021,54994.1162109375
29/04/2021,53986.767578125
30/04/2021,55587.2900390625
01/05/2021,57760.83203125
02/05/2021,57125.3603515625
03/05/2021,57346.1865234375
04/05/2021,55238.3310546875
05/05/2021,55389.1474609375
06/05/2021,56895.912109375
07/05/2021,56924.708984375
08/05/2021,58149.091796875
09/05/2021,58200.6484375
10/05/2021,56925.3701171875
11/05/2021,56008.2529296875
12/05/2021,53238.7412109375
13/05/2021,49440.6220703125
14/05/2021,49967.552734375
15/05/2021,48479.8720703125
16/05/2021,46714.0224609375
17/05/2021,44696.064453125
