Date,Value
10/10/2024,135.576
11/10/2024,134.84
14/10/2024,135.966
15/10/2024,138.122
16/10/2024,138.628
17/10/2024,140.712
18/10/2024,141.558
21/10/2024,143.158
22/10/2024,141.286
23/10/2024,140.526
24/10/2024,141.97
25/10/2024,142.932
28/10/2024,142.39
29/10/2024,143.01
30/10/2024,142.308
31/10/2024,141.782
01/11/2024,140.87
04/11/2024,142.58
05/11/2024,143.02
06/11/2024,144.23
07/11/2024,145.484
08/11/2024,147.978
11/11/2024,148.754
12/11/2024,149.274
13/11/2024,148.05
14/11/2024,151.086
15/11/2024,153.454
18/11/2024,152.19
19/11/2024,153.886
20/11/2024,155.178
21/11/2024,155.316
22/11/2024,157.258
25/11/2024,158.854
26/11/2024,155.714
27/11/2024,156.06
28/11/2024,157.722
29/11/2024,156.936
02/12/2024,157.68
03/12/2024,157.298
04/12/2024,155.916
05/12/2024,157.152
06/12/2024,156.862
09/12/2024,157.294
10/12/2024,156.564
11/12/2024,156.59
12/12/2024,156.768
13/12/2024,156.688
16/12/2024,157.514
17/12/2024,159.104
18/12/2024,159.272
19/12/2024,155.486
20/12/2024,151.55
23/12/2024,152.616
24/12/2024,153.898
27/12/2024,154.9
30/12/2024,154.182
31/12/2024,152.77
02/01/2025,152.488
03/01/2025,153.874
06/01/2025,155.108
07/01/2025,155.964
08/01/2025,157.786
09/01/2025,157.678
10/01/2025,156.494
13/01/2025,152.082
14/01/2025,151.88
15/01/2025,151.622
16/01/2025,154.198
17/01/2025,153.5
20/01/2025,153.834
21/01/2025,155.118
22/01/2025,156.67
23/01/2025,156.704
24/01/2025,157.878
28/01/2025,158.638
29/01/2025,158.828
30/01/2025,159.074
31/01/2025,159.674
03/02/2025,156.732
04/02/2025,157.568
05/02/2025,157.52
06/02/2025,160.606
07/02/2025,161.28
10/02/2025,161.01
11/02/2025,161.262
12/02/2025,162.842
13/02/2025,165.324
14/02/2025,165.39
17/02/2025,163.466
18/02/2025,162.632
19/02/2025,158.306
20/02/2025,156.646
21/02/2025,152.938
24/02/2025,153.04
25/02/2025,154.318
26/02/2025,154.938
27/02/2025,155.438
28/02/2025,155.868
03/03/2025,156.792
04/03/2025,156.776
05/03/2025,155.628
06/03/2025,154.352
07/03/2025,148.76
10/03/2025,148.044
11/03/2025,145.966
12/03/2025,144.394
13/03/2025,144.012
14/03/2025,142.114
17/03/2025,143.792
18/03/2025,144.328
19/03/2025,142.654
20/03/2025,144.646
21/03/2025,145.368
24/03/2025,146.782
25/03/2025,148.224
26/03/2025,149.728
27/03/2025,149.09
28/03/2025,149.442
31/03/2025,149.622
01/04/2025,151.756
02/04/2025,153.978
03/04/2025,154.012
04/04/2025,153.762
07/04/2025,143.544
08/04/2025,146.774
09/04/2025,147.25
10/04/2025,154.924
11/04/2025,152.508
14/04/2025,156.022
15/04/2025,157.886
16/04/2025,158.418
17/04/2025,160.014
22/04/2025,164.112
23/04/2025,165.188
24/04/2025,164.268
28/04/2025,163.756
29/04/2025,162.53
30/04/2025,164.838
01/05/2025,166.55
02/05/2025,168.328
05/05/2025,167.112
06/05/2025,165.936
07/05/2025,166.116
08/05/2025,164.7
09/05/2025,165.972
12/05/2025,167.184
13/05/2025,166.118
14/05/2025,166.776
15/05/2025,168.446
16/05/2025,170.23
19/05/2025,170.182
20/05/2025,172.02
21/05/2025,173.926
22/05/2025,172.442
23/05/2025,172.94
26/05/2025,173.078
27/05/2025,174.258
28/05/2025,174.262
29/05/2025,173.712
30/05/2025,174.78
02/06/2025,175.536
03/06/2025,177.548
04/06/2025,179.636
05/06/2025,180.546
06/06/2025,179.554
10/06/2025,180.406
11/06/2025,181.398
12/06/2025,180.732
13/06/2025,179.36
16/06/2025,178.5
17/06/2025,178.414
18/06/2025,179.228
19/06/2025,181.454
20/06/2025,181.586
23/06/2025,182.628
24/06/2025,186.428
25/06/2025,190.15
26/06/2025,190.23
27/06/2025,186.964
30/06/2025,184.458
01/07/2025,182.46
02/07/2025,182.382
03/07/2025,180.21
04/07/2025,177.946
07/07/2025,177.296
08/07/2025,177.93
09/07/2025,178.082
10/07/2025,179.614
11/07/2025,179.166
14/07/2025,178.452
15/07/2025,179.108
16/07/2025,177.28
17/07/2025,179.23
18/07/2025,181.22
21/07/2025,178.608
22/07/2025,173.93
23/07/2025,172.216
24/07/2025,173.054
25/07/2025,172.218
28/07/2025,173.228
29/07/2025,173.396
30/07/2025,175.222
31/07/2025,176.906
01/08/2025,174.988
04/08/2025,173.912
05/08/2025,176.07
06/08/2025,178.07
07/08/2025,178.004
08/08/2025,176.33
11/08/2025,177.368
12/08/2025,178.306
13/08/2025,171.536
14/08/2025,166.904
15/08/2025,166.9
18/08/2025,168.91
19/08/2025,170.55
20/08/2025,171.382
21/08/2025,173.652
22/08/2025,173.27
25/08/2025,171.59
26/08/2025,169.804
27/08/2025,170.132
28/08/2025,172.116
29/08/2025,171.148
01/09/2025,169.63
02/09/2025,170.008
03/09/2025,166.336
04/09/2025,167.054
05/09/2025,168.48
08/09/2025,167.862
09/09/2025,166.804
10/09/2025,168.032
11/09/2025,167.908
12/09/2025,168.942
15/09/2025,168.642
16/09/2025,168.534
17/09/2025,168.356
18/09/2025,165.808
19/09/2025,166.248
22/09/2025,165.984
23/09/2025,166.676
24/09/2025,165
25/09/2025,163.718
26/09/2025,164.46
29/09/2025,167.2
30/09/2025,166.998
01/10/2025,166.722
02/10/2025,169.126
03/10/2025,169.802
06/10/2025,170.406
07/10/2025,169.03
08/10/2025,169.552
09/10/2025,167.958
10/10/2025,168.18
10/10/2025,168.18
