"Date","Value"
"12/31/1914",1744.7
"01/30/1915",1805.7
"02/27/1915",1774.73
"03/31/1915",1981.96
"04/30/1915",2315.34
"05/29/1915",2076.21
"06/30/1915",2237.49
"07/31/1915",2412.18
"08/31/1915",2593.26
"09/30/1915",2892.83
"10/30/1915",3015
"11/30/1915",3028.63
"12/31/1915",3105.04
"01/31/1916",2809.38
"02/29/1916",2823.34
"03/31/1916",2864.65
"04/29/1916",2728.07
"05/31/1916",2767.39
"06/30/1916",2675.46
"07/31/1916",2665.61
"08/31/1916",2729.93
"09/30/1916",3014.35
"10/31/1916",2986.12
"11/29/1916",2972.33
"12/30/1916",2641.66
"01/31/1917",2630.94
"02/28/1917",2461.14
"03/31/1917",2599.84
"04/30/1917",2386.7
"05/31/1917",2453.98
"06/30/1917",2366.61
"07/31/1917",2312.11
"08/31/1917",2069.35
"09/29/1917",2024.13
"10/31/1917",1780.06
"11/30/1917",1735.86
"12/31/1917",1751.25
"01/31/1918",1838.6
"02/28/1918",1839.06
"03/30/1918",1760.49
"04/30/1918",1760.68
"05/31/1918",1736.94
"06/29/1918",1812.05
"07/31/1918",1735.21
"08/31/1918",1727.17
"09/30/1918",1739.77
"10/31/1918",1723.89
"11/30/1918",1601.53
"12/31/1918",1606.94
"01/31/1919",1575.86
"02/28/1919",1688.67
"03/31/1919",1747.53
"04/30/1919",1793.98
"05/29/1919",2013.62
"06/30/1919",2041.87
"07/31/1919",1986.53
"08/29/1919",1908.94
"09/30/1919",2019.09
"10/31/1919",2119.28
"11/29/1919",1808.43
"12/31/1919",1830.06
"01/31/1920",1741.66
"02/28/1920",1508.26
"03/31/1920",1683.38
"04/30/1920",1486.32
"05/29/1920",1437.59
"06/30/1920",1400.75
"07/31/1920",1346.85
"08/31/1920",1369.06
"09/30/1920",1337.82
"10/30/1920",1379.07
"11/30/1920",1238.76
"12/31/1920",1196.3
"01/31/1921",1292.45
"02/28/1921",1314.44
"03/31/1921",1335.37
"04/30/1921",1400.2
"05/31/1921",1338.35
"06/30/1921",1254.51
"07/30/1921",1245.96
"08/31/1921",1223
"09/30/1921",1310.15
"10/31/1921",1349.41
"11/30/1921",1432.99
"12/31/1921",1506.53
"01/31/1922",1551.73
"02/28/1922",1631.13
"03/31/1922",1720
"04/29/1922",1775.63
"05/31/1922",1854.82
"06/30/1922",1794.95
"07/31/1922",1863.37
"08/31/1922",1958.3
"09/30/1922",1887.18
"10/31/1922",1856.37
"11/29/1922",1817.29
"12/30/1922",1873.72
"01/31/1923",1870.66
"02/28/1923",1994.89
"03/31/1923",1973.19
"04/30/1923",1877.72
"05/31/1923",1861.5
"06/30/1923",1677.32
"07/31/1923",1629.87
"08/31/1923",1762.96
"09/29/1923",1649.75
"10/31/1923",1650.65
"11/30/1923",1721.69
"12/31/1923",1780.98
"01/31/1924",1876.82
"02/29/1924",1832.03
"03/31/1924",1740.7
"04/30/1924",1719.63
"05/31/1924",1705.78
"06/30/1924",1828.54
"07/31/1924",1926.69
"08/30/1924",1975.97
"09/30/1924",1945.93
"10/31/1924",1951.49
"11/29/1924",2083.52
"12/31/1924",2246.93
"01/31/1925",2302.49
"02/28/1925",2292.43
"03/31/1925",2176.82
"04/30/1925",2250.61
"05/29/1925",2422.94
"06/30/1925",2414.78
"07/31/1925",2438.52
"08/31/1925",2572.83
"09/30/1925",2614.38
"10/31/1925",2836.53
"11/30/1925",2707.36
"12/31/1925",2722.49
"01/30/1926",2835.47
"02/27/1926",2787.36
"03/31/1926",2545.33
"04/30/1926",2589.68
"05/28/1926",2599.15
"06/30/1926",2788.97
"07/31/1926",2952.45
"08/31/1926",3012.61
"09/30/1926",2915.77
"10/30/1926",2763.03
"11/30/1926",2852.93
"12/31/1926",2864.78
"01/31/1927",2882.96
"02/28/1927",3002.41
"03/31/1927",2984.71
"04/30/1927",3069.74
"05/31/1927",3206.33
"06/30/1927",3046.55
"07/30/1927",3382.23
"08/31/1927",3559.24
"09/30/1927",3684.09
"10/31/1927",3368.91
"11/30/1927",3695.65
"12/31/1927",3742.08
"01/31/1928",3702.74
"02/29/1928",3674.18
"03/31/1928",4045.22
"04/30/1928",3992.02
"05/31/1928",4122.22
"06/30/1928",3968.25
"07/31/1928",4074.45
"08/31/1928",4534.91
"09/29/1928",4425.98
"10/31/1928",4728.89
