Date,Value
31/12/1914,1744.7
30/01/1915,1805.7
27/02/1915,1774.73
31/03/1915,1981.96
30/04/1915,2315.34
29/05/1915,2076.21
30/06/1915,2237.49
31/07/1915,2412.18
31/08/1915,2593.26
30/09/1915,2892.83
30/10/1915,3015
30/11/1915,3028.63
31/12/1915,3105.04
31/01/1916,2809.38
29/02/1916,2823.34
31/03/1916,2864.65
29/04/1916,2728.07
31/05/1916,2767.39
30/06/1916,2675.46
31/07/1916,2665.61
31/08/1916,2729.93
30/09/1916,3014.35
31/10/1916,2986.12
29/11/1916,2972.33
30/12/1916,2641.66
31/01/1917,2630.94
28/02/1917,2461.14
31/03/1917,2599.84
30/04/1917,2386.7
31/05/1917,2453.98
30/06/1917,2366.61
31/07/1917,2312.11
31/08/1917,2069.35
29/09/1917,2024.13
31/10/1917,1780.06
30/11/1917,1735.86
31/12/1917,1751.25
31/01/1918,1838.6
28/02/1918,1839.06
30/03/1918,1760.49
30/04/1918,1760.68
31/05/1918,1736.94
29/06/1918,1812.05
31/07/1918,1735.21
31/08/1918,1727.17
30/09/1918,1739.77
31/10/1918,1723.89
30/11/1918,1601.53
31/12/1918,1606.94
31/01/1919,1575.86
28/02/1919,1688.67
31/03/1919,1747.53
30/04/1919,1793.98
29/05/1919,2013.62
30/06/1919,2041.87
31/07/1919,1986.53
29/08/1919,1908.94
30/09/1919,2019.09
31/10/1919,2119.28
29/11/1919,1808.43
31/12/1919,1830.06
31/01/1920,1741.66
28/02/1920,1508.26
31/03/1920,1683.38
30/04/1920,1486.32
29/05/1920,1437.59
30/06/1920,1400.75
31/07/1920,1346.85
31/08/1920,1369.06
30/09/1920,1337.82
30/10/1920,1379.07
30/11/1920,1238.76
31/12/1920,1196.3
31/01/1921,1292.45
28/02/1921,1314.44
31/03/1921,1335.37
30/04/1921,1400.2
31/05/1921,1338.35
30/06/1921,1254.51
30/07/1921,1245.96
31/08/1921,1223
30/09/1921,1310.15
31/10/1921,1349.41
30/11/1921,1432.99
31/12/1921,1506.53
31/01/1922,1551.73
28/02/1922,1631.13
31/03/1922,1720
29/04/1922,1775.63
31/05/1922,1854.82
30/06/1922,1794.95
31/07/1922,1863.37
31/08/1922,1958.3
30/09/1922,1887.18
31/10/1922,1856.37
29/11/1922,1817.29
30/12/1922,1873.72
31/01/1923,1870.66
28/02/1923,1994.89
31/03/1923,1973.19
30/04/1923,1877.72
31/05/1923,1861.5
30/06/1923,1677.32
31/07/1923,1629.87
31/08/1923,1762.96
29/09/1923,1649.75
31/10/1923,1650.65
30/11/1923,1721.69
31/12/1923,1780.98
31/01/1924,1876.82
29/02/1924,1832.03
31/03/1924,1740.7
30/04/1924,1719.63
31/05/1924,1705.78
30/06/1924,1828.54
31/07/1924,1926.69
30/08/1924,1975.97
30/09/1924,1945.93
31/10/1924,1951.49
29/11/1924,2083.52
31/12/1924,2246.93
31/01/1925,2302.49
28/02/1925,2292.43
31/03/1925,2176.82
30/04/1925,2250.61
29/05/1925,2422.94
30/06/1925,2414.78
31/07/1925,2438.52
31/08/1925,2572.83
30/09/1925,2614.38
31/10/1925,2836.53
30/11/1925,2707.36
31/12/1925,2722.49
30/01/1926,2835.47
27/02/1926,2787.36
31/03/1926,2545.33
30/04/1926,2589.68
28/05/1926,2599.15
30/06/1926,2788.97
31/07/1926,2952.45
31/08/1926,3012.61
30/09/1926,2915.77
30/10/1926,2763.03
30/11/1926,2852.93
31/12/1926,2864.78
31/01/1927,2882.96
28/02/1927,3002.41
31/03/1927,2984.71
30/04/1927,3069.74
31/05/1927,3206.33
30/06/1927,3046.55
30/07/1927,3382.23
31/08/1927,3559.24
30/09/1927,3684.09
31/10/1927,3368.91
30/11/1927,3695.65
31/12/1927,3742.08
31/01/1928,3702.74
29/02/1928,3674.18
31/03/1928,4045.22
30/04/1928,3992.02
31/05/1928,4122.22
30/06/1928,3968.25
31/07/1928,4074.45
31/08/1928,4534.91
29/09/1928,4425.98
31/10/1928,4728.89
30/11/1928,5501.92
31/12/1928,5658.96
31/01/1929,5989.26
28/02/1929,5987.37
28/03/1929,5860.17
30/04/1929,6094.11
31/05/1929,5643.11
29/06/1929,6296.35
31/07/1929,6482.92
30/08/1929,7091.31
30/09/1929,6403.67
31/10/1929,5099.63
27/11/1929,4455.26
31/12/1929,4659.88
31/01/1930,5039.12
28/02/1930,5144.09
31/03/1930,5460.63
30/04/1930,5298.16
29/05/1930,5250.11
30/06/1930,4345.74
31/07/1930,4546.75
29/08/1930,4700.01
30/09/1930,3981.49
31/10/1930,3584.34
29/11/1930,3606.98
31/12/1930,3297.33
31/01/1931,3399.06
28/02/1931,3896.62
31/03/1931,3563.89
30/04/1931,3146.32
29/05/1931,2708.25
30/06/1931,3208.09
31/07/1931,2892.15
31/08/1931,2978.03
30/09/1931,2077.51
31/10/1931,2282.39
30/11/1931,2059.78
31/12/1931,1721.06
30/01/1932,1718.6
29/02/1932,1863.08
31/03/1932,1688.38
30/04/1932,1302.08
31/05/1932,1053.39
30/06/1932,1016.07
30/07/1932,1286.92
31/08/1932,1748.04
30/09/1932,1722.57
31/10/1932,1501.24
30/11/1932,1376.99
31/12/1932,1475.66
31/01/1933,1522.79
28/02/1933,1305.23
31/03/1933,1418.24
29/04/1933,1988.1
31/05/1933,2255.62
30/06/1933,2492.61
31/07/1933,2235.03
31/08/1933,2502.54
30/09/1933,2317.06
31/10/1933,2154.32
29/11/1933,2398.19
30/12/1933,2441.2
31/01/1934,2620.08
28/02/1934,2509.19
31/03/1934,2470.14
30/04/1934,2437.15
31/05/1934,2279.75
30/06/1934,2304.14
31/07/1934,2119.51
31/08/1934,2235.3
29/09/1934,2196.97
31/10/1934,2230.69
30/11/1934,2459.59
31/12/1934,2504.42
31/01/1935,2411.86
28/02/1935,2410.5
30/03/1935,2373.53
30/04/1935,2558.28
31/05/1935,2586.1
29/06/1935,2783.21
31/07/1935,2972.03
31/08/1935,3011.12
30/09/1935,3106
31/10/1935,3290.12
30/11/1935,3327.29
31/12/1935,3368.89
31/01/1936,3494.18
29/02/1936,3556.35
31/03/1936,3680.96
30/04/1936,3429.74
29/05/1936,3593.85
30/06/1936,3685.84
31/07/1936,3825.71
31/08/1936,3831.33
30/09/1936,3866.58
31/10/1936,4082.47
30/11/1936,4221.4
31/12/1936,4144.91
30/01/1937,4249.11
27/02/1937,4284.8
31/03/1937,4234.41
30/04/1937,3930.96
28/05/1937,3913.52
30/06/1937,3792.78
31/07/1937,4129
31/08/1937,3946.59
30/09/1937,3414.95
30/10/1937,3052.62
30/11/1937,2746.88
31/12/1937,2707.05
31/01/1938,2768.35
28/02/1938,2965.73
31/03/1938,2263.65
30/04/1938,2527.79
31/05/1938,2464.73
30/06/1938,3062.73
30/07/1938,3231.33
31/08/1938,3186.03
30/09/1938,3235.9
31/10/1938,3495.87
30/11/1938,3451.86
31/12/1938,3565.68
31/01/1939,3312.24
28/02/1939,3418.22
31/03/1939,3059.46
29/04/1939,3002.39
31/05/1939,3229.82
30/06/1939,3053.34
31/07/1939,3348.56
31/08/1939,3141.7
30/09/1939,3489.61
31/10/1939,3499.33
30/11/1939,3356.71
30/12/1939,3461.54
31/01/1940,3372.5
29/02/1940,3376.29
30/03/1940,3408.78
30/04/1940,3419.84
31/05/1940,2677.72
29/06/1940,2787.98
31/07/1940,2906.27
31/08/1940,2981.85
30/09/1940,3056.04
31/10/1940,3101.42
30/11/1940,3018.25
31/12/1940,2999.82
31/01/1941,2839.68
28/02/1941,2790.27
31/03/1941,2787.65
30/04/1941,2606.2
31/05/1941,2593.03
30/06/1941,2702.05
31/07/1941,2826.03
30/08/1941,2764.5
30/09/1941,2709.09
31/10/1941,2483.93
29/11/1941,2392.61
31/12/1941,2309.12
31/01/1942,2241.7
28/02/1942,2180.14
31/03/1942,2006.53
30/04/1942,1910.32
29/05/1942,1996.32
30/06/1942,2045
31/07/1942,2079.34
31/08/1942,2078.66
30/09/1942,2133.01
31/10/1942,2203.27
30/11/1942,2198.41
31/12/1942,2278.92
30/01/1943,2396.88
27/02/1943,2483.34
31/03/1943,2561.17
30/04/1943,2511.53
29/05/1943,2618.46
30/06/1943,2642.79
31/07/1943,2520.24
31/08/1943,2547.3
30/09/1943,2597.54
30/10/1943,2563.25
30/11/1943,2401.97
31/12/1943,2519.13
31/01/1944,2547.12
29/02/1944,2526.73
31/03/1944,2573.81
29/04/1944,2511
31/05/1944,2621.78
30/06/1944,2719.41
31/07/1944,2662.68
31/08/1944,2678.71
30/09/1944,2673.98
31/10/1944,2670.33
30/11/1944,2684.91
30/12/1944,2760.25
31/01/1945,2784.72
28/02/1945,2906.67
31/03/1945,2798.13
30/04/1945,2998.01
31/05/1945,3032.79
30/06/1945,2945.64
31/07/1945,2902.69
31/08/1945,3106.03
29/09/1945,3238.26
31/10/1945,3325.41
30/11/1945,3412.02
31/12/1945,3418.97
31/01/1946,3627.39
28/02/1946,3387.6
30/03/1946,3520.85
30/04/1946,3624.78
31/05/1946,3701.26
28/06/1946,3546.79
31/07/1946,3283.61
30/08/1946,3021.06
30/09/1946,2726.27
31/10/1946,2623.13
30/11/1946,2571.4
31/12/1946,2658.5
31/01/1947,2707.11
28/02/1947,2684.01
31/03/1947,2609.95
30/04/1947,2513.32
29/05/1947,2492.85
30/06/1947,2599.55
31/07/1947,2661.56
29/08/1947,2564
30/09/1947,2489.19
31/10/1947,2549.77
29/11/1947,2505.08
31/12/1947,2497.23
31/01/1948,2382.46
28/02/1948,2296.36
31/03/1948,2442.64
30/04/1948,2446.45
28/05/1948,2574.28
30/06/1948,2535.78
30/07/1948,2397.13
31/08/1948,2392.35
30/09/1948,2347.45
30/10/1948,2493.5
30/11/1948,2281.92
31/12/1948,2373.03
31/01/1949,2407.38
28/02/1949,2345.48
31/03/1949,2400.23
30/04/1949,2350.51
31/05/1949,2281.78
30/06/1949,2259.55
