Date,Value
14/10/2024,164.494
15/10/2024,165.658
16/10/2024,164.732
17/10/2024,164
18/10/2024,163.42
21/10/2024,163.498
22/10/2024,164.256
23/10/2024,163.472
24/10/2024,162.38
25/10/2024,164.498
28/10/2024,166.832
29/10/2024,168.762
30/10/2024,176.982
31/10/2024,172.484
01/11/2024,170.62
04/11/2024,169.282
05/11/2024,169.506
06/11/2024,175.298
07/11/2024,179.278
08/11/2024,179.11
11/11/2024,179.502
12/11/2024,180.828
13/11/2024,179.386
14/11/2024,176.362
15/11/2024,172.662
18/11/2024,174.318
19/11/2024,176.322
20/11/2024,175.998
21/11/2024,169.25
22/11/2024,165.002
25/11/2024,166.978
26/11/2024,168.506
27/11/2024,168.844
29/11/2024,168.45
02/12/2024,170.33
03/12/2024,171.39
04/12/2024,173.018
05/12/2024,173.654
06/12/2024,173.524
09/12/2024,174.808
10/12/2024,184
11/12/2024,191.188
12/12/2024,193.038
13/12/2024,190.48
16/12/2024,195.434
17/12/2024,196.77
18/12/2024,191.23
19/12/2024,189.89
20/12/2024,189.218
23/12/2024,193.3
24/12/2024,195.262
26/12/2024,195.368
27/12/2024,193.162
30/12/2024,190.666
31/12/2024,189.906
02/01/2025,189.678
03/01/2025,191.504
06/01/2025,195.83
07/01/2025,196.61
08/01/2025,193.702
10/01/2025,192.918
13/01/2025,190.002
14/01/2025,190.046
15/01/2025,194.354
16/01/2025,193.524
17/01/2025,195.774
21/01/2025,198.938
22/01/2025,198.634
23/01/2025,197.792
24/01/2025,199.354
27/01/2025,192.604
28/01/2025,193.776
29/01/2025,195.192
30/01/2025,199.632
31/01/2025,203.332
03/02/2025,201.27
04/02/2025,205.068
05/02/2025,190.778
06/02/2025,190.58
07/02/2025,187.11
10/02/2025,186.748
11/02/2025,185.258
12/02/2025,183.356
13/02/2025,185.084
14/02/2025,185.128
18/02/2025,184.048
19/02/2025,184.612
20/02/2025,184.27
21/02/2025,181.662
24/02/2025,180.384
25/02/2025,176.348
26/02/2025,173.526
27/02/2025,170.588
28/02/2025,169.214
03/03/2025,168.942
04/03/2025,169.322
05/03/2025,171.768
06/03/2025,171.996
07/03/2025,172.732
10/03/2025,166.36
11/03/2025,164.154
12/03/2025,166.324
13/03/2025,163.892
14/03/2025,164.568
17/03/2025,164.646
18/03/2025,161.13
19/03/2025,163.214
20/03/2025,162.536
21/03/2025,162.796
24/03/2025,167.108
25/03/2025,169.738
26/03/2025,166.644
27/03/2025,163.238
28/03/2025,156.856
31/03/2025,153.654
01/04/2025,155.83
02/04/2025,156.402
03/04/2025,151.08
04/04/2025,147.07
07/04/2025,145.624
08/04/2025,147.118
09/04/2025,152.994
10/04/2025,153.902
11/04/2025,155.468
14/04/2025,159.418
15/04/2025,157.256
16/04/2025,153.368
17/04/2025,151.894
21/04/2025,147.792
22/04/2025,150.448
23/04/2025,155.464
24/04/2025,157.952
25/04/2025,163.158
28/04/2025,161.012
29/04/2025,159.712
30/04/2025,157.984
01/05/2025,160.714
02/05/2025,163.594
05/05/2025,163.836
06/05/2025,162.856
07/05/2025,155.872
08/05/2025,154.414
09/05/2025,153.32
12/05/2025,157.886
13/05/2025,158.848
14/05/2025,163.392
15/05/2025,164.4
16/05/2025,166.946
19/05/2025,165.62
20/05/2025,165.09
21/05/2025,167.432
22/05/2025,172.142
23/05/2025,168.7
27/05/2025,171.754
28/05/2025,172.94
29/05/2025,172.482
30/05/2025,170.824
02/06/2025,168.56
03/06/2025,166.652
04/06/2025,167.414
05/06/2025,168.986
06/06/2025,172.63
09/06/2025,175.48
10/06/2025,177.852
11/06/2025,178.286
12/06/2025,175.778
13/06/2025,174.228
16/06/2025,175.94
17/06/2025,175.876
18/06/2025,174.452
20/06/2025,169.376
23/06/2025,165.168
24/06/2025,166.932
25/06/2025,169.75
26/06/2025,172.596
27/06/2025,176.17
30/06/2025,177.778
01/07/2025,175.376
02/07/2025,177.318
03/07/2025,178.824
07/07/2025,177.492
08/07/2025,175.434
09/07/2025,176.108
10/07/2025,176.704
11/07/2025,178.984
14/07/2025,181.464
15/07/2025,182.494
16/07/2025,183.076
17/07/2025,182.736
18/07/2025,185.096
21/07/2025,188.544
22/07/2025,190.624
23/07/2025,190.7
24/07/2025,194.03
25/07/2025,192.752
28/07/2025,192.706
29/07/2025,194.352
30/07/2025,196.154
31/07/2025,193.284
01/08/2025,189.154
04/08/2025,193.118
05/08/2025,195.126
06/08/2025,195.36
07/08/2025,196.358
08/08/2025,199.932
11/08/2025,200.662
12/08/2025,202.592
13/08/2025,201.982
14/08/2025,202.574
15/08/2025,203.838
18/08/2025,203.756
19/08/2025,201.878
20/08/2025,199.414
21/08/2025,200.196
22/08/2025,204.914
25/08/2025,207.804
26/08/2025,207.03
27/08/2025,207.006
28/08/2025,209.892
29/08/2025,212.198
02/09/2025,209.766
03/09/2025,228.684
04/09/2025,230.504
05/09/2025,233.93
08/09/2025,235.07
09/09/2025,237.426
10/09/2025,239.35
11/09/2025,239.824
12/09/2025,240.41
15/09/2025,248.99
16/09/2025,251.382
17/09/2025,249.632
18/09/2025,251.906
19/09/2025,254.1
22/09/2025,253.114
23/09/2025,252.24
24/09/2025,248.946
25/09/2025,244.642
26/09/2025,247.108
29/09/2025,245.974
30/09/2025,242.31
01/10/2025,243.092
02/10/2025,245.128
03/10/2025,244.63
06/10/2025,248.308
07/10/2025,247.15
08/10/2025,244.806
09/10/2025,242.288
10/10/2025,238.9
